21
2,197,45,241,11,30,0.2f
49,200,90,241,13,27,0.2f
96,191,147,243,11,34,0.2f
149,182,187,246,15,33,0.2f
191,167,224,232,13,39,0.2f
228,165,256,229,11,42,0.2f
260,174,306,226,19,37,0.2f
312,170,357,203,27,31,0.2f
359,163,403,207,24,30,0.2f
405,147,441,207,29,36,0.2f
445,165,500,201,16,27,0.2f
512,162,546,232,14,36,0.2f
548,164,597,223,12,36,0.2f
599,168,647,212,13,34,0.2f
650,176,692,225,12,36,0.2f
697,195,741,241,15,32,0.2f
744,199,792,241,14,28,0.2f
794,212,858,241,29,15,0.2f
860,209,921,241,26,18,0.2f
923,203,982,241,25,24,0.2f
987,197,1032,241,11,30,0.2f
